"subject_isolate","strain","consensus_ID","Con_ID","hits","query_clade","subject_clade"
"1A1","FR13","8_FR13","8",1,"O","O"
"1A1","Lc8401","4_Lc8401","4",1,"Ec","O"
"1A1","U75","6_U75","6",1,"O","O"
"1A1","HO","1_HO","1",1,"L1","O"
"1A1","IC17","1_IC17","1",1,"O","O"
"1A1","SSFL02-2","8_SSFL02-2","8",1,"St","O"
"1A1","U233","2_U233","2",1,"St","O"
"1A1","T4-2","3_T4-2","3",1,"T","O"
"1A1","Pd88413","2_Pd88413","2",1,"Ec","O"
"1A1","STAG-MS","1_STAG-MS","1",1,"St","O"
"1A1","T13-3EX","7_T13-3EX","7",1,"T","O"
"1A1","IB49","2_IB49","2",1,"O","O"
"1A1","T5-3","11_T5-3","11",1,"T","O"
"1A1","ML33","3_ML33","3",1,"O","O"
"1A1","Bm88324","7_Bm88324","7",1,"B1","O"
"1A1","JA115EX","1_JA115EX","1",1,"Pu","O"
"1A1","T5-3","8_T5-3","8",1,"T","O"
"1A1","IE1K","1_IE1K","1",1,"O","O"
"1A1","SSTX-16-11","6_SSTX-16-11","6",1,"St","O"
"1A1","T25","1_T25","1",1,"T","O"
"1A1","Arcadia","7_Arcadia","7",1,"S","O"
"1A1","JA159EX","1_JA159EX","1",1,"C2","O"
"1A1","JA178EX","8_JA178EX","8",1,"E3","O"
"1A1","GRF52","1_GRF52","1",1,"S","O"
"1A1","SSTX-16-11","2_SSTX-16-11","2",1,"St","O"
"1A1","T30-2","3_T30-2","3",1,"T","O"
"1A1","WB169","1_WB169","1",1,"T","O"
"1A1","U75","3_U75","3",1,"O","O"
"1A1","SSFL14-3","10_SSFL14-3","10",1,"St","O"
"1A1","T4-2","5_T4-2","5",1,"T","O"
"1A1","FPH","1_FPH","1",1,"H","O"
"1A1","SSID116","6_SSID116","6",1,"O","O"
"1A1","SSFL02-2","11_SSFL02-2","11",1,"St","O"
"1A1","Lh8401","4_Lh8401","4",1,"Le","O"
"1A1","IB33","4_IB33","4",1,"O","O"
"1A1","JA178EX","1_JA178EX","1",1,"E3","O"
"1A1","IE1K","3_IE1K","3",1,"O","O"
"1A1","JA1EX","3_JA1EX","3",1,"Pu","O"
"1A1","T4-2","7_T4-2","7",1,"T","O"
"1A1","Wk3-1","5_Wk3-1","5",1,"L3","O"
"1A1","TEF","4_TEF","4",1,"Er","O"
"1A1","Pg1054x1x2","9_Pg1054x1x2","9",1,"St","O"
"1A1","WB169","2_WB169","2",1,"T","O"
"1A1","Guy11","3_Guy11","3",1,"O","O"
"1A1","U75","1_U75","1",1,"O","O"
"1A1","Bm8309","6_Bm8309","6",1,"B1","O"
"1A1","Pr8202","2_Pr8202","2",1,"P","O"
"1A1","Pg1054x1x2","3_Pg1054x1x2","3",1,"St","O"
"1A1","1C17","1_1C17","1",1,"O","O"
"1A1","Wk3-1","6_Wk3-1","6",1,"L3","O"
"1A1","Pr8202","5_Pr8202","5",1,"P","O"
"1A1","1B49","7_1B49","7",1,"O","O"
"1A1","T5-3","10_T5-3","10",1,"T","O"
"1A1","Pr8202","1_Pr8202","1",1,"P","O"
"1A1","T13-3EX","5_T13-3EX","5",1,"T","O"
"1A1","Bd8401","9_Bd8401","9",1,"B2","O"
"1A1","1A1","5_1A1","5",1,"O","O"
"1A1","Po221","1_Po221","1",1,"L1","O"
"1A1","U168","3_U168","3",1,"Lu","O"
"1A1","T4-2","6_T4-2","6",1,"T","O"
"1A1","Pg1054x1x2","5_Pg1054x1x2","5",1,"St","O"
"1A1","CD88215","3_CD88215","3",1,"C1","O"
"1A1","Arcadia","3_Arcadia","3",1,"S","O"
"1A1","U75","5_U75","5",1,"O","O"
"1A1","Lc8401","5_Lc8401","5",1,"Ec","O"
"1A1","T4-2","2_T4-2","2",1,"T","O"
"1A1","T21-1EX_CK","2_T21-1EX_CK","2",1,"T","O"
"1A1","SSFL14-3","7_SSFL14-3","7",1,"St","O"
"1A1","TEF","5_TEF","5",1,"Er","O"
"1A1","T21-1EX_CK","7_T21-1EX_CK","7",1,"T","O"
"1A1","Lh88405","3_Lh88405","3",1,"Le","O"
"1A1","T30-2","6_T30-2","6",1,"T","O"
"1A1","Pg1213-2","6_Pg1213-2","6",1,"L2","O"
"1A1","T12-8","1_T12-8","1",1,"T","O"
"1A1","Ce88443","2_Ce88443","2",1,"Ce","O"
"1A1","Pr88165","7_Pr88165","7",1,"P","O"
"1A1","1B49","3_1B49","3",1,"O","O"
"1A1","U107","4_U107","4",1,"O","O"
"1A1","T3-1","10_T3-1","10",1,"T","O"
"1A1","Ds363","6_Ds363","6",1,"Ec","O"
"1A1","Ds363","11_Ds363","11",1,"Ec","O"
"1A1","AR4","3_AR4","3",1,"Er","O"
"1A1","IB49","7_IB49","7",1,"O","O"
"1A1","IC17","4_IC17","4",1,"O","O"
"1A1","T50-3","2_T50-3","2",1,"T","O"
